coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9,coef10,coef11,coef12,coef13,classs
-2.30E+00,-1.49E+00,-3.99E-01,1.14E-03,1.39E-01,2.53E-01,3.61E-01,4.40E-01,5.06E-01,5.59E-01,6.02E-01,6.41E-01,6.77E-01,babar
-2.33E+00,-1.51E+00,-4.05E-01,1.32E-03,1.41E-01,2.59E-01,3.67E-01,4.46E-01,5.15E-01,5.70E-01,6.11E-01,6.47E-01,6.83E-01,babar
-2.29E+00,-1.48E+00,-3.98E-01,2.02E-03,1.38E-01,2.54E-01,3.60E-01,4.37E-01,5.06E-01,5.58E-01,6.00E-01,6.37E-01,6.74E-01,babar
-2.26E+00,-1.46E+00,-3.94E-01,2.38E-03,1.36E-01,2.51E-01,3.57E-01,4.31E-01,5.00E-01,5.54E-01,5.93E-01,6.29E-01,6.65E-01,babar
-2.23E+00,-1.44E+00,-3.88E-01,2.48E-03,1.33E-01,2.47E-01,3.53E-01,4.25E-01,4.92E-01,5.44E-01,5.85E-01,6.19E-01,6.55E-01,babar
-2.29E+00,-1.48E+00,-3.99E-01,1.77E-03,1.38E-01,2.54E-01,3.62E-01,4.38E-01,5.06E-01,5.61E-01,6.01E-01,6.36E-01,6.73E-01,babar
-2.28E+00,-1.48E+00,-3.97E-01,1.87E-03,1.38E-01,2.54E-01,3.60E-01,4.36E-01,5.05E-01,5.59E-01,5.99E-01,6.34E-01,6.71E-01,babar
-2.21E+00,-1.43E+00,-3.85E-01,1.75E-03,1.33E-01,2.45E-01,3.49E-01,4.21E-01,4.88E-01,5.41E-01,5.78E-01,6.13E-01,6.49E-01,babar
-2.27E+00,-1.47E+00,-3.95E-01,1.54E-03,1.37E-01,2.51E-01,3.58E-01,4.33E-01,5.01E-01,5.55E-01,5.95E-01,6.30E-01,6.66E-01,babar
-2.27E+00,-1.47E+00,-3.96E-01,1.78E-03,1.37E-01,2.52E-01,3.59E-01,4.35E-01,5.02E-01,5.56E-01,5.97E-01,6.32E-01,6.68E-01,babar
-1.94E+00,-1.36E+00,-4.13E-01,-6.74E-02,1.07E-01,1.80E-01,3.56E-01,3.89E-01,4.40E-01,4.84E-01,5.85E-01,6.10E-01,6.21E-01,babar
-2.08E+00,-1.44E+00,-4.19E-01,-6.45E-02,1.14E-01,1.98E-01,3.83E-01,4.08E-01,4.49E-01,5.00E-01,6.26E-01,6.53E-01,6.70E-01,babar
-1.73E+00,-1.32E+00,-4.43E-01,-1.28E-01,1.16E-01,1.29E-01,3.80E-01,3.51E-01,3.82E-01,4.43E-01,6.23E-01,5.99E-01,5.96E-01,babar
